240817
93149956;HB135                                   ;      125000;      125000;      125000;CJD;
93151390;HB135                                   ;      125000;      125000;      125000;CJD;
93152108;HB135                                   ;      195000;      195000;      195000;CJD;
93158203;IGNITION S                              ;      105000;      105000;      105000;CJD;
93158637;IGNITION S                              ;      105000;      105000;      105000;CJD;
93159242;IGNITION S                              ;      105000;      105000;      105000;CJD;
93161816;IGNITION T                              ;      105000;      105000;      105000;CJD;
93199228;DALI                                    ;      599000;      599000;      599000;CJD;
93200269;WISH 1                                  ;     1515000;     1515000;     1515000;CJD;
93431830;CELEBS                                  ;      165000;      165000;      165000;CJD;
93467184;RAINBOW                                 ;     1599000;     1599000;     1599000;CJD;
93479166;KNOT                                    ;       49000;       49000;       49000;CJD;
93754213;CARBON                                  ;       95000;       95000;       95000;CJD;
93788509;SPORT CHRO                              ;       50900;       50900;       50900;CJD;
93790643;CRISTAL                                 ;       54900;       54900;       54900;CJD;
93800045;KNOT                                    ;      239000;      239000;      239000;CJD;
93830386;METROP. HB                              ;      329000;      329000;      329000;CJD;
93844255;SPACE                                   ;       39000;       39000;       39000;CJD;
93849214;SPETTACOLA                              ;       55000;       55000;       55000;CJD;
93850280;YACHTIMER                               ;       59000;       59000;       59000;CJD;
93878419;MAMBO                                   ;       45000;       45000;       45000;CJD;
93882645;IN.TONNEAU                              ;      145000;      145000;      145000;CJD;
93887434;GRECIA                                  ;      399000;      399000;      399000;CJD;
93896395;CORRENTES                               ;       39000;       39000;       39000;CJD;
93936109;ESTEIRA                                 ;       65000;       65000;       65000;CJD;
94124183;GRECIA                                  ;      399000;      399000;      399000;CJD;
94165688;DELA A.BRO                              ;       35000;       35000;       35000;CJD;
94173605;SOLIT. 2                                ;      939000;      939000;      939000;CJD;
94216703;INFINITO                                ;     1799000;     1799000;     1799000;CJD;
94301760;CORRENTES                               ;      125000;      125000;      125000;CJD;
94306648;FAUNA                                   ;      599000;      599000;      599000;CJD;
94568219;9COLECTION                              ;       69000;       69000;       69000;CJD;
94644179;IGNITION S                              ;      105000;      105000;      105000;CJD;
94656886;HB101                                   ;      195000;      195000;      195000;CJD;
94661472;HB100                                   ;      175000;      175000;      175000;CJD;
94662045;HB100                                   ;      175000;      175000;      175000;CJD;
94681856;BFC CHRONO                              ;       99000;       99000;       99000;CJD;
94748594;ARGOLAS                                 ;      119000;      119000;      119000;CJD;
94942676;BOLINHA                                 ;       69000;       69000;       69000;CJD;
94996300;WISH 1                                  ;     1515000;     1515000;     1515000;CJD;
94996407;WISH 1                                  ;      335000;      335000;      335000;CJD;
94996520;WISH 1                                  ;     1515000;     1515000;     1515000;CJD;
94996580;WISH 1                                  ;      119000;      119000;      119000;CJD;
94996652;WISH 1                                  ;      135000;      135000;      135000;CJD;
95050752;DALI                                    ;      269000;      269000;      269000;CJD;
95054561;SIMETRIA                                ;       85000;       85000;       85000;CJD;
95062181;HB136                                   ;      155000;      155000;      155000;CJD;
95072039;KNOT                                    ;      799000;      799000;      799000;CJD;
95080546;CELEBS                                  ;       95000;       95000;       95000;CJD;
95111727;CLASSICO                                ;       29000;       29000;       29000;CJD;
95137785;ESTEIRA                                 ;      165000;      165000;      165000;CJD;
95138560;ESTEIRA 1                               ;      109000;      109000;      109000;CJD;
95138587;ESTEIRA 1                               ;      415000;      415000;      415000;CJD;
95145036;LUMIERE                                 ;      799000;      799000;      799000;CJD;
95156372;GRECIA                                  ;      189000;      189000;      189000;CJD;
95161589;DREAMS                                  ;      119000;      119000;      119000;CJD;
95161619;DREAMS                                  ;      119000;      119000;      119000;CJD;
95167692;NSR - 02                                ;       49000;       49000;       49000;CJD;
95170839;BFC 46                                  ;       29000;       29000;       29000;CJD;
95182578;BOXED                                   ;       29000;       29000;       29000;CJD;
95224521;BOLINHA                                 ;       69000;       69000;       69000;CJD;
95226478;N-MX44                                  ;       45000;       45000;       45000;CJD;
95227245;N-MX44                                  ;       45000;       45000;       45000;CJD;
95230785;CONSTELLAT                              ;       49000;       49000;       49000;CJD;
95238948;SPACE                                   ;       39000;       39000;       39000;CJD;
95240918;SECRET*                                 ;      115000;      115000;      115000;CJD;
95254749;FAUNA                                   ;      759000;      759000;      759000;CJD;
95316930;HAMPTON                                 ;       39000;       39000;       39000;CJD;
95317961;HAMPTON                                 ;       39000;       39000;       39000;CJD;
95336559;AUDREY                                  ;       39000;       39000;       39000;CJD;
95336885;AUDREY                                  ;       39000;       39000;       39000;CJD;
95365656;MELLOW                                  ;      269000;      269000;      269000;CJD;
95375279;INCA                                    ;       89000;       89000;       89000;CJD;
95376291;BOMBE                                   ;      369000;      369000;      369000;CJD;
95383123;HB135                                   ;      125000;      125000;      125000;CJD;
95384480;INF GOTAS                               ;      499000;      499000;      499000;CJD;
95384561;INF GOTAS                               ;      499000;      499000;      499000;CJD;
95397582;TEEN 2                                  ;       35000;       35000;       35000;CJD;
95398562;GRECIA-PER                              ;       75000;       75000;       75000;CJD;
95398589;GRECIA-PER                              ;       75000;       75000;       75000;CJD;
95398902;BABY 2                                  ;       25000;       25000;       25000;CJD;
95398910;BABY 2                                  ;       25000;       25000;       25000;CJD;
95399747;GRECIA-PER                              ;       99000;       99000;       99000;CJD;
95421947;SNIDER                                  ;       55000;       55000;       55000;CJD;
95428143;HERITAGE R                              ;       49000;       49000;       49000;CJD;
95445838;HERIT                                   ;       39000;       39000;       39000;CJD;
95445854;HERIT                                   ;       39000;       39000;       39000;CJD;
95445943;HERIT                                   ;       39000;       39000;       39000;CJD;
95455221;HAMPTON                                 ;       39000;       39000;       39000;CJD;
95456740;HAMPTON                                 ;       39000;       39000;       39000;CJD;
95481494;ELOS PORT                               ;      169000;      169000;      169000;CJD;
95482873;ARGOLAS                                 ;       39000;       39000;       39000;CJD;
95490035;ELOS PORT                               ;       39000;       39000;       39000;CJD;
95501207;ARGOLAS                                 ;      315000;      315000;      315000;CJD;
95515453;HONEY                                   ;      199000;      199000;      199000;CJD;
95520660;TRANÇA                                  ;      105000;      105000;      105000;CJD;
95520678;KNOT                                    ;      109000;      109000;      109000;CJD;
95536884;BOMBE                                   ;      359000;      359000;      359000;CJD;
95540717;BABY                                    ;       26000;       26000;       26000;CJD;
95540857;BABY                                    ;       26000;       26000;       26000;CJD;
95541160;BABY                                    ;       29000;       29000;       29000;CJD;
95541373;BABY                                    ;       29000;       29000;       29000;CJD;
95541632;BABY                                    ;       29000;       29000;       29000;CJD;
95541837;BABY                                    ;       29000;       29000;       29000;CJD;
95542744;BABY 2                                  ;        9000;        9000;        9000;CJD;
95542892;BABY 2                                  ;        9000;        9000;        9000;CJD;
95544135;BABY                                    ;       39000;       39000;       39000;CJD;
95544801;BABY                                    ;       39000;       39000;       39000;CJD;
95544917;BABY 2                                  ;       15000;       15000;       15000;CJD;
95545050;BABY 2                                  ;       15000;       15000;       15000;CJD;
95545778;BABY                                    ;       45000;       45000;       45000;CJD;
95546219;BABY                                    ;       45000;       45000;       45000;CJD;
95546588;BABY 2                                  ;       14000;       14000;       14000;CJD;
95546731;BABY 2                                  ;       14000;       14000;       14000;CJD;
95560327;VENEZIANA                               ;       65000;       65000;       65000;CJD;
95560335;VENEZIANA                               ;       65000;       65000;       65000;CJD;
95561072;VENEZIANA                               ;       65000;       65000;       65000;CJD;
95572384;ARGOLAS                                 ;       75000;       75000;       75000;CJD;
95577904;OLYMPUS                                 ;       49000;       49000;       49000;CJD;
95605860;KIRA                                    ;       45000;       45000;       45000;CJD;
95605932;KIRA                                    ;       45000;       45000;       45000;CJD;
95606726;KIRA                                    ;       45000;       45000;       45000;CJD;
95616683;KIRA                                    ;       45000;       45000;       45000;CJD;
95616730;KIRA                                    ;       45000;       45000;       45000;CJD;
95638202;VENEZIANA                               ;       39000;       39000;       39000;CJD;
95639926;VENEZIANA                               ;       39000;       39000;       39000;CJD;
95648585;VENEZIANA                               ;       69000;       69000;       69000;CJD;
95651187;VENEZIANA                               ;       65000;       65000;       65000;CJD;
95651195;VENEZIANA                               ;       65000;       65000;       65000;CJD;
95655123;DALI                                    ;      269000;      269000;      269000;CJD;
95659951;BOLINHA                                 ;       49000;       49000;       49000;CJD;
95660470;DELA C.FUM                              ;      135000;      135000;      135000;CJD;
95679308;ARGOLAS 2                               ;       69000;       69000;       69000;CJD;
95681876;ESCAMAS                                 ;      239000;      239000;      239000;CJD;
95685111;BOLINHA                                 ;       45000;       45000;       45000;CJD;
95685189;ARGOLAS 2                               ;       59000;       59000;       59000;CJD;
95686495;TRANÇA                                  ;      105000;      105000;      105000;CJD;
95687580;INF GOTAS                               ;       99000;       99000;       99000;CJD;
